zcta,total_pop,pct_white_nh,pct_black_nh,pct_hispanic,pct_asian_nh,pct_aian_nh,pct_nhpi_nh,median_hh_income,pct_below_poverty,pct_uninsured_adults_19_64,median_age,is_majority_minority,area_sq_km,low_spatial_precision,pw_centroid_lat,pw_centroid_lon,sas_score,sas_score_aggressive,sas_score_flat,best_facility_id,best_facility_name,best_facility_type,socioeconomic_vulnerability_flag,clinical_risk_flag,double_jeopardy_flag,best_facility_drive_miles,nearest_csc_name,nearest_csc_drive_mins,nearest_csc_drive_miles
93710,32730,43.41888175985334,5.817293003360831,37.93461655973113,8.54262144821265,0.3391384051329056,0.01833180568285976,55015.0,24.659885172241637,8.8099,30.7,1,16.027008896231834,0,36.82313835705356,-119.76503265276908,100,100.0,100.0,,SAINT AGNES MEDICAL CENTER,CSC,0,0,0,1.9,SAINT AGNES MEDICAL CENTER,4.5,1.9
93711,39963,52.34341766133673,4.8995320671621245,27.968370742937214,9.180992417986637,0.3903610840027025,0.3303055326176713,92138.0,7.4983677364271,7.7304,39.4,0,30.07323967018195,0,36.83023561457744,-119.83439893016809,100,100.0,100.0,,SAINT AGNES MEDICAL CENTER,CSC,0,0,0,4.5,SAINT AGNES MEDICAL CENTER,10.7,4.5
93720,48597,49.15529765211845,2.4631150070992036,27.57166080210713,15.56680453525938,0.22017820030043006,0.08436734777866946,104428.0,6.895116825832762,5.8948,38.1,1,27.268415422865043,0,36.85937630047259,-119.75486368319118,100,100.0,100.0,,SAINT AGNES MEDICAL CENTER,CSC,0,0,0,2.2,SAINT AGNES MEDICAL CENTER,5.3,2.2
93721,8004,23.500749625187407,10.707146426786608,60.544727636181904,3.3233383308345825,0.24987506246876562,0.23738130934532736,26019.0,31.584062196307094,20.134,35.4,1,5.28594626868971,0,36.7383638703127,-119.78663959416377,100,100.0,100.0,,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),CSC,0,0,0,2.7,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),8.9,2.7
93722,86387,22.487179783995277,8.3774178985264,49.03515575260167,15.038142313079513,0.4086262979383472,0.12386122912012225,75491.0,17.255249443285024,7.977,32.1,1,50.6744904982591,0,36.80124961138344,-119.87575593786346,85,100.0,100.0,,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),CSC,0,0,0,8.3,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),16.5,8.3
93723,13174,22.468498557765297,4.706239562775163,48.383178988917564,21.003491726127223,0.0,0.10626992561105207,112306.0,11.370373185376605,6.5141,31.9,1,106.49045108741471,0,36.8028721542577,-119.91921439295504,85,100.0,100.0,,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),CSC,0,0,0,10.1,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),19.3,10.1
93725,26568,11.784853959650707,4.448961156278229,65.71439325504366,16.237579042457092,0.14679313459801266,0.09409816320385427,63571.0,19.968946451564037,14.7735,30.2,1,173.8382335540524,0,36.690730681140586,-119.7382947745661,100,100.0,100.0,,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),CSC,0,0,0,10.4,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),14.4,10.4
93726,44790,24.112525117213664,5.235543648135745,57.79638312123242,9.278856887698147,0.13842375530252288,0.2388926099575798,52921.0,26.46818738379212,10.9587,30.1,1,16.8407406937203,0,36.79443351048955,-119.76162159957991,100,100.0,100.0,,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),CSC,0,0,0,2.7,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),7.7,2.7
93727,82176,18.504186137071652,4.313911604361371,45.01557632398754,27.66622858255452,0.7094528816199377,0.4441686137071651,78036.0,17.475128983682637,7.1869,31.5,1,57.20650833135413,0,36.747299766730784,-119.70083940077741,100,100.0,100.0,,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),CSC,0,0,0,8.0,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),13.2,8.0
93728,17892,23.95484015202325,2.4536105522021017,66.45428124301364,4.387435725463894,0.09501453163424994,0.05589090096132349,48197.0,21.33422878889635,9.7701,33.5,1,7.879190893337795,0,36.758281450219215,-119.81404207702431,100,100.0,100.0,,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),CSC,0,0,0,3.0,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),9.6,3.0
93730,12461,58.59882834443464,1.8939089960677316,18.52981301661183,15.857475323007783,0.08025038118931065,0.1605007623786213,139754.0,6.893507744161785,3.8714,43.7,0,21.13780055195848,0,36.890876710937384,-119.7548349861694,100,100.0,100.0,,SAINT AGNES MEDICAL CENTER,CSC,0,0,0,5.3,SAINT AGNES MEDICAL CENTER,13.3,5.3
93737,6624,33.57487922705314,1.585144927536232,34.05797101449276,25.63405797101449,0.06038647342995169,0.0,103993.0,8.742261814887513,12.6997,35.7,1,25.284727743095672,0,36.772068365585206,-119.65444090259243,85,100.0,100.0,,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),CSC,0,0,0,10.5,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),15.4,10.5
93740,1174,32.027257240204435,4.258943781942079,41.82282793867121,12.43611584327087,0.0,0.0,,,7.5089,19.9,1,2.2637909328801418,0,36.81230925028854,-119.74852279472384,100,100.0,100.0,,SAINT AGNES MEDICAL CENTER,CSC,0,0,0,3.0,SAINT AGNES MEDICAL CENTER,10.2,3.0
93741,77,24.675324675324674,1.2987012987012987,74.02597402597402,0.0,0.0,0.0,,100.0,0.0,31.6,1,0.2968490175963275,0,36.7674305,-119.79603549999999,100,100.0,100.0,,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),CSC,0,0,0,1.4,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),6.5,1.4
93901,29498,29.83931113973829,1.1594006373313446,61.75333920943793,4.53251067869008,0.24408434470133566,0.10509187063529732,84669.0,11.798274261748427,12.7991,36.5,1,24.82708820870488,0,36.668591182313165,-121.6599941680707,40,75.0,75.0,,NATIVIDAD MEDICAL CENTER,PSC,0,0,0,3.8,,,
93905,63121,2.750273284643779,0.38814340710698503,93.27957415123335,2.8389917776968048,0.03168517609036612,0.01584258804518306,68795.0,19.390603812714367,26.4857,28.6,1,24.024446044483796,0,36.68309670740547,-121.6144285081531,40,75.0,75.0,,NATIVIDAD MEDICAL CENTER,PSC,0,0,0,1.9,,,
93906,66883,13.35316896670305,1.142293258376568,76.66522135669751,6.979352002751073,0.008970889463690325,0.0239223719031742,93626.0,10.009217425467293,16.4445,32.9,1,34.3904919494466,0,36.71062419609527,-121.64130443530081,40,75.0,75.0,,NATIVIDAD MEDICAL CENTER,PSC,0,0,0,3.5,,,
93907,25124,32.07689858302818,1.1900971182932654,53.46680464894125,7.25999044738099,0.2945390861327814,0.6448017831555485,100295.0,9.415832428737989,11.6082,39.5,1,141.97520287757735,0,36.75583596874544,-121.66616063219386,40,75.0,75.0,,NATIVIDAD MEDICAL CENTER,PSC,0,0,0,6.6,,,
93908,12983,59.10036201186166,0.16945236077948087,28.87622275283063,7.440499114226295,0.0,0.0,159688.0,4.975700069428373,5.4042,43.8,0,631.81407032508,1,36.59629801602971,-121.66929809047618,32,75.0,75.0,,NATIVIDAD MEDICAL CENTER,PSC,0,1,0,11.7,,,
93920,1790,55.08379888268157,0.0,42.51396648044693,0.0,0.0,0.0,70573.0,14.983164983164984,5.3719,37.6,0,417.8012211584342,1,36.17270660061402,-121.70242873307018,8,52.5,60.0,,NATIVIDAD MEDICAL CENTER,PSC,0,0,0,59.8,,,
93921,2469,88.6188740380721,0.08100445524503848,3.6452004860267313,0.6480356419603078,0.0,0.0,118472.0,0.9319286871961102,0.0,65.5,0,2.465652963373591,0,36.55496467601488,-121.92126888207032,24,75.0,75.0,,NATIVIDAD MEDICAL CENTER,PSC,0,1,0,24.7,,,
93923,12630,77.31591448931117,0.4750593824228029,9.794140934283451,6.11243072050673,0.0,0.7521773555027712,120972.0,7.328548644338118,4.1274,59.0,0,526.8342922685794,1,36.53522570408492,-121.88136059266486,24,75.0,75.0,,NATIVIDAD MEDICAL CENTER,PSC,0,1,0,27.0,,,
93924,6563,77.09888770379399,1.6303519731829956,14.993143379552034,0.41139722687795216,0.2133170806033826,0.746609782111839,158261.0,8.990993741413526,7.1954,56.5,0,485.4169192477575,1,36.4775178070056,-121.72348362284762,24,75.0,75.0,,NATIVIDAD MEDICAL CENTER,PSC,0,1,0,21.5,,,
